Category|Food Name|Density (g/ml)|Specific Gravity|Source
Grains and cereals|Barley, flour|0.61||ASI
Grains and cereals|Barley, flour, malted|0.64||ASI
Grains and cereals|Barley, ground|0.38-0.42||ASI
Grains and cereals|Barley, malted|0.49||ASI
Grains and cereals|Barley, rolled|0.34-0.38||ASI
Grains and cereals|Barley, scoured|0.66||ASI
Grains and cereals|Barley, whole|0.61-0.69||ASI
Grains and cereals|Biscuits|0.41-0.53||FNDDS 4.1
Grains and cereals|Bran|0.56||ASI
Grains and cereals|Bread|0.29||FNDDS 4.1
Grains and cereals|Bread, cornbread|0.433||S&W
Grains and cereals|Bread, roll, soft|0.18||FNDDS 4.1
Grains and cereals|Bread, white|0.42||KEN
Grains and cereals|Bread, white, sliced, prepacked|0.29||FNDDS 4.1
Grains and cereals|Breadcrumbs|0.45||RC
Grains and cereals|Breakfast cereal, cornflakes (dry cereal)|0.117||S&W
Grains and cereals|Breakfast cereal, muesli w/ fruits&nuts|0.37||FNDDS 4.1
Grains and cereals|Breakfast cereal, raisin bran|0.26||FNDDS 4.1
Grains and cereals|Breakfast cereal, type Cheerios|0.13||FNDDS 4.1
Grains and cereals|Breakfast cereal, type Corn flakes|0.1||RC
Grains and cereals|Breakfast cereal, type Crispix|0.13||FNDDS 4.1
Grains and cereals|Breakfast cereal, type frosted flakes|0.18||FNDDS 4.1
Grains and cereals|Breakfast cereal, type Just Right|0.24||FNDDS 4.1
Grains and cereals|Breakfast cereal, type rice krispies|0.12||FNDDS 4.1
Grains and cereals|Buckwheat, bran|0.25||ASI
Grains and cereals|Buckwheat, flour|0.66||ASI
Grains and cereals|Buckwheat, whole|0.59-0.66||ASI
Grains and cereals|Bulrush mille, fermented flour|0.56||KEN
Grains and cereals|Cake|0.415||S&W
Grains and cereals|Cake mix|0.7||ASI
Grains and cereals|Corn/maize flour, white|0.55||KEN
Grains and cereals|Corn/maize starch, loosely packed|0.54||TB
Grains and cereals|Corn/maize sugar|0.33||ASI
Grains and cereals|Corn/maize, boiled|0.90||KEN
Grains and cereals|Corn/maize, boiled with fat|0.90||KEN
Grains and cereals|Corn/maize, bran|0.21||ASI
Grains and cereals|Corn/maize, chops (coarse)|0.64-0.70||ASI
Grains and cereals|Corn/maize, chops (fine)|0.58-0.62||ASI
Grains and cereals|Corn/maize, chops (medium)|0.61-0.67||ASI
Grains and cereals|Corn/maize, cobs|0.27||ASI
Grains and cereals|Corn/maize, cracked (coarse)|0.64||ASI
Grains and cereals|Corn/maize, ear|0.9||TB
Grains and cereals|Corn/maize, ear|0.9||ASI
Grains and cereals|Corn/maize, fermented flour|0.55||KEN
Grains and cereals|Corn/maize, flour|0.82||ASI
Grains and cereals|Corn/maize, meal|0.64||ASI
Grains and cereals|Corn/maize, flour|0.62||ASI
Grains and cereals|Corn/maize, germ flour|0.56||ASI
Grains and cereals|Corn/maize, gluten flour|0.51-0.69||ASI
Grains and cereals|Corn/maize, grits|0.64-0.69||ASI
Grains and cereals|Corn/maize, ground|0.54-0.58||ASI
Grains and cereals|Corn/maize, kibbled|0.32-0.35||ASI
Grains and cereals|Corn/maize, mash|0.72||ASI
Grains and cereals|Corn/maize, shelled|0.72||TB
Grains and cereals|Corn/maize, starch|0.67||ASI
Grains and cereals|Corn/maize, starch, tightly packed|0.63||TB
Grains and cereals|Corn/maize, white, boiled|0.85||KEN
Grains and cereals|Corn/maize, white, dry|0.81||KEN
Grains and cereals|Corn/maize, whole kernel, dried, cracked (Njenga)|0.81||KEN
Grains and cereals|Corn/maize, whole kernel, dried, cracked, boiled (Njenga)|1.07||KEN
Grains and cereals|Corn/maize, whole shelled|0.72||ASI
Grains and cereals|Donut mix|0.64||ASI
